title:Skeles Wishlist
description:A list of rolls I personally enjoy, heavy PvE bias
dimwishlist:item=222606050&perks=3643424744,3751912585


// The Title - General ()
dimwishlist:item=294129361&perks=1428297954,3708227201
dimwishlist:item=294129361&perks=1428297954,588594999
dimwishlist:item=294129361&perks=1428297954,2896038713
dimwishlist:item=294129361&perks=4071163871,3708227201
dimwishlist:item=294129361&perks=4071163871,588594999
dimwishlist:item=294129361&perks=4071163871,2896038713


// Ignition Code - general ()
dimwishlist:item=304659313&perks=2010801679,3523296417
dimwishlist:item=304659313&perks=2010801679,4104185692
dimwishlist:item=304659313&perks=2010801679,1546637391
dimwishlist:item=304659313&perks=3161816588,3523296417
dimwishlist:item=304659313&perks=3161816588,4104185692
dimwishlist:item=304659313&perks=3161816588,1546637391


// Vouchsafe ()
dimwishlist:item=355922321&perks=247725512,3038247973
dimwishlist:item=355922321&perks=247725512,2848615171
dimwishlist:item=355922321&perks=247725512,2610012052
dimwishlist:item=355922321&perks=1354429876,3038247973
dimwishlist:item=355922321&perks=1354429876,2848615171
dimwishlist:item=355922321&perks=1354429876,2610012052
dimwishlist:item=355922321&perks=1168162263,3038247973
dimwishlist:item=355922321&perks=1168162263,2848615171
dimwishlist:item=355922321&perks=1168162263,2610012052


// Vouchsafe - Void ()
//notes: :)))
dimwishlist:item=355922321&perks=776531651,2048641572


// Psi Hermetic V - General ()
dimwishlist:item=358788212&perks=1168162263,2610012052
dimwishlist:item=358788212&perks=1168162263,1015611457
dimwishlist:item=358788212&perks=1168162263,124408337
dimwishlist:item=358788212&perks=1168162263,4104185692
dimwishlist:item=358788212&perks=1195158366,2610012052
dimwishlist:item=358788212&perks=1195158366,1015611457
dimwishlist:item=358788212&perks=1195158366,124408337
dimwishlist:item=358788212&perks=1195158366,4104185692
dimwishlist:item=358788212&perks=3828510309,2610012052
dimwishlist:item=358788212&perks=3828510309,1015611457
dimwishlist:item=358788212&perks=3828510309,124408337
dimwishlist:item=358788212&perks=3828510309,4104185692
dimwishlist:item=358788212&perks=1570042021,2610012052
dimwishlist:item=358788212&perks=1570042021,1015611457
dimwishlist:item=358788212&perks=1570042021,124408337
dimwishlist:item=358788212&perks=1570042021,4104185692


// The Guiding Sight ()
dimwishlist:item=417100299&perks=3828510309,555281244
dimwishlist:item=417100299&perks=3828510309,831391274
dimwishlist:item=417100299&perks=3828510309,1015611457
dimwishlist:item=417100299&perks=3828510309,11612903
dimwishlist:item=417100299&perks=923806249,555281244
dimwishlist:item=417100299&perks=923806249,831391274
dimwishlist:item=417100299&perks=923806249,1015611457
dimwishlist:item=417100299&perks=923806249,11612903
dimwishlist:item=417100299&perks=3523296417,555281244
dimwishlist:item=417100299&perks=3523296417,831391274
dimwishlist:item=417100299&perks=3523296417,1015611457
dimwishlist:item=417100299&perks=3523296417,11612903
dimwishlist:item=417100299&perks=3938834702,555281244
dimwishlist:item=417100299&perks=3938834702,831391274
dimwishlist:item=417100299&perks=3938834702,1015611457
dimwishlist:item=417100299&perks=3938834702,11612903


// Truthteller ()
dimwishlist:item=447296102&perks=3828510309,4071163871
dimwishlist:item=447296102&perks=3828510309,438098033
dimwishlist:item=447296102&perks=2779035018,4071163871
dimwishlist:item=447296102&perks=2779035018,438098033


// Positive Outlook - General ()
//notes: Dunno abt this weapon
dimwishlist:item=491078457&perks=2010801679,2048641572
dimwishlist:item=491078457&perks=2010801679,2610012052
dimwishlist:item=491078457&perks=2010801679,2848615171
dimwishlist:item=491078457&perks=2010801679,1015611457
dimwishlist:item=491078457&perks=1428297954,2048641572
dimwishlist:item=491078457&perks=1428297954,2610012052
dimwishlist:item=491078457&perks=1428297954,2848615171
dimwishlist:item=491078457&perks=1428297954,1015611457


// Bold Endings - General ()
dimwishlist:item=496728945&perks=247725512,2610012052
dimwishlist:item=496728945&perks=247725512,3523296417


// Bold Endings - Stasis (pve)
//notes: tags:pve
dimwishlist:item=496728945&perks=124408337,2848615171


// Dark Decider - Pvp (pvp)
//notes: tags:pvp
dimwishlist:item=540880995&perks=11551321,591790007
dimwishlist:item=540880995&perks=11551321,2846385770


// Dark Decider ()
dimwishlist:item=540880995&perks=1820235745,2173046394
dimwishlist:item=540880995&perks=1820235745,2848615171
dimwishlist:item=540880995&perks=744594675,2173046394
dimwishlist:item=540880995&perks=744594675,2848615171


// Retraced Path ()
dimwishlist:item=548958835&perks=1820235745,4104185692
dimwishlist:item=548958835&perks=1820235745,4293542123
dimwishlist:item=548958835&perks=1820235745,2896038713
dimwishlist:item=548958835&perks=2450788523,4104185692
dimwishlist:item=548958835&perks=2450788523,4293542123
dimwishlist:item=548958835&perks=2450788523,2896038713
dimwishlist:item=548958835&perks=2779035018,4104185692
dimwishlist:item=548958835&perks=2779035018,4293542123
dimwishlist:item=548958835&perks=2779035018,2896038713
dimwishlist:item=548958835&perks=744594675,4104185692
dimwishlist:item=548958835&perks=744594675,4293542123
dimwishlist:item=548958835&perks=744594675,2896038713


// Riiswalker (pvp)
//notes: tags:pvp
dimwishlist:item=557165046&perks=3161816588,438098033
dimwishlist:item=557165046&perks=3161816588,591790007
dimwishlist:item=557165046&perks=3161816588,2451262963
dimwishlist:item=557165046&perks=3161816588,47981717
dimwishlist:item=557165046&perks=1126264488,438098033
dimwishlist:item=557165046&perks=1126264488,591790007
dimwishlist:item=557165046&perks=1126264488,2451262963
dimwishlist:item=557165046&perks=1126264488,47981717
dimwishlist:item=557165046&perks=2450788523,438098033
dimwishlist:item=557165046&perks=2450788523,591790007
dimwishlist:item=557165046&perks=2450788523,2451262963
dimwishlist:item=557165046&perks=2450788523,47981717


// Forbearance - General ()
dimwishlist:item=568611921&perks=1583705720,2396489472
dimwishlist:item=568611921&perks=1583705720,2610012052
dimwishlist:item=568611921&perks=1583705720,3425386926
dimwishlist:item=568611921&perks=1583705720,4049631843
dimwishlist:item=568611921&perks=1583705720,2109543898
dimwishlist:item=568611921&perks=3108830275,2396489472
dimwishlist:item=568611921&perks=3108830275,2610012052
dimwishlist:item=568611921&perks=3108830275,3425386926
dimwishlist:item=568611921&perks=3108830275,4049631843
dimwishlist:item=568611921&perks=3108830275,2109543898
dimwishlist:item=568611921&perks=3523296417,2396489472
dimwishlist:item=568611921&perks=3523296417,2610012052
dimwishlist:item=568611921&perks=3523296417,3425386926
dimwishlist:item=568611921&perks=3523296417,4049631843
dimwishlist:item=568611921&perks=3523296417,2109543898
dimwishlist:item=568611921&perks=2010801679,2396489472
dimwishlist:item=568611921&perks=2010801679,2610012052
dimwishlist:item=568611921&perks=2010801679,3425386926
dimwishlist:item=568611921&perks=2010801679,4049631843
dimwishlist:item=568611921&perks=2010801679,2109543898


// Forbearance - Ability Gen ()
//notes: These together generate and benefit from ability uptime
dimwishlist:item=568611921&perks=3436462433,3592538738


// The Mountaintop ()
dimwishlist:item=568611922&perks=2010801679,4049631843
dimwishlist:item=568611922&perks=2010801679,3425386926
dimwishlist:item=568611922&perks=2010801679,11612903
dimwishlist:item=568611922&perks=2010801679,4104185692
dimwishlist:item=568611922&perks=951095735,4049631843
dimwishlist:item=568611922&perks=951095735,3425386926
dimwishlist:item=568611922&perks=951095735,11612903
dimwishlist:item=568611922&perks=951095735,4104185692
dimwishlist:item=568611922&perks=3523296417,4049631843
dimwishlist:item=568611922&perks=3523296417,3425386926
dimwishlist:item=568611922&perks=3523296417,11612903
dimwishlist:item=568611922&perks=3523296417,4104185692
dimwishlist:item=568611922&perks=3643424744,4049631843
dimwishlist:item=568611922&perks=3643424744,3425386926
dimwishlist:item=568611922&perks=3643424744,11612903
dimwishlist:item=568611922&perks=3643424744,4104185692


// Edge Transit - Bait 'n' Switch (god-pve)
//notes: tags:god-pve
dimwishlist:item=568611923&perks=3525010810,3301904089,968510818,3078487919,2489430594
dimwishlist:item=568611923&perks=3525010810,3301904089,968510818,3194351027,2489430594
dimwishlist:item=568611923&perks=3525010810,3301904089,3751912585,3078487919,2489430594
dimwishlist:item=568611923&perks=3525010810,3301904089,3751912585,3194351027,2489430594
dimwishlist:item=568611923&perks=3525010810,1771897777,968510818,3078487919,2489430594
dimwishlist:item=568611923&perks=3525010810,1771897777,968510818,3194351027,2489430594
dimwishlist:item=568611923&perks=3525010810,1771897777,3751912585,3078487919,2489430594
dimwishlist:item=568611923&perks=3525010810,1771897777,3751912585,3194351027,2489430594
dimwishlist:item=568611923&perks=1441682018,3301904089,968510818,3078487919,2489430594
dimwishlist:item=568611923&perks=1441682018,3301904089,968510818,3194351027,2489430594
dimwishlist:item=568611923&perks=1441682018,3301904089,3751912585,3078487919,2489430594
dimwishlist:item=568611923&perks=1441682018,3301904089,3751912585,3194351027,2489430594
dimwishlist:item=568611923&perks=1441682018,1771897777,968510818,3078487919,2489430594
dimwishlist:item=568611923&perks=1441682018,1771897777,968510818,3194351027,2489430594
dimwishlist:item=568611923&perks=1441682018,1771897777,3751912585,3078487919,2489430594
dimwishlist:item=568611923&perks=1441682018,1771897777,3751912585,3194351027,2489430594


// Edge Transit - General (pve)
//notes: tags:pve
dimwishlist:item=568611923&perks=2396489472,3194351027
dimwishlist:item=568611923&perks=2396489472,11612903
dimwishlist:item=568611923&perks=2396489472,4104185692
dimwishlist:item=568611923&perks=2396489472,2888557110
dimwishlist:item=568611923&perks=951095735,3194351027
dimwishlist:item=568611923&perks=951095735,11612903
dimwishlist:item=568611923&perks=951095735,4104185692
dimwishlist:item=568611923&perks=951095735,2888557110
dimwishlist:item=568611923&perks=3300816228,3194351027
dimwishlist:item=568611923&perks=3300816228,11612903
dimwishlist:item=568611923&perks=3300816228,4104185692
dimwishlist:item=568611923&perks=3300816228,2888557110
dimwishlist:item=568611923&perks=2869569095,3194351027
dimwishlist:item=568611923&perks=2869569095,11612903
dimwishlist:item=568611923&perks=2869569095,4104185692
dimwishlist:item=568611923&perks=2869569095,2888557110


// The Title - Void ()
//notes: void
dimwishlist:item=655712834&perks=776531651,2048641572


// The Title - General ()
dimwishlist:item=655712834&perks=4071163871,2048641572
dimwishlist:item=655712834&perks=4071163871,3708227201
dimwishlist:item=655712834&perks=1428297954,2048641572
dimwishlist:item=655712834&perks=1428297954,3708227201


// Hullabaloo - Rely on others ()
//notes: Benefits from other weapons
dimwishlist:item=657927352&perks=968510818,3751912585


// Hullabaloo - General ()
dimwishlist:item=657927352&perks=951095735,1546637391
dimwishlist:item=657927352&perks=951095735,2396489472
dimwishlist:item=657927352&perks=951095735,4049631843
dimwishlist:item=657927352&perks=951095735,2610012052
dimwishlist:item=657927352&perks=3300816228,1546637391
dimwishlist:item=657927352&perks=3300816228,2396489472
dimwishlist:item=657927352&perks=3300816228,4049631843
dimwishlist:item=657927352&perks=3300816228,2610012052
dimwishlist:item=657927352&perks=2869569095,1546637391
dimwishlist:item=657927352&perks=2869569095,2396489472
dimwishlist:item=657927352&perks=2869569095,4049631843
dimwishlist:item=657927352&perks=2869569095,2610012052


// Arsenic Bite-4b ()
dimwishlist:item=720351795&perks=3425386926,3365897133
dimwishlist:item=720351795&perks=3425386926,201365942
dimwishlist:item=720351795&perks=2848615171,3365897133
dimwishlist:item=720351795&perks=2848615171,201365942
dimwishlist:item=720351795&perks=588594999,3365897133
dimwishlist:item=720351795&perks=588594999,201365942


// Persuader - Void ()
//notes: :)))
dimwishlist:item=781498181&perks=776531651,2048641572


// Persuader ()
dimwishlist:item=781498181&perks=247725512,2319119708
dimwishlist:item=781498181&perks=247725512,555281244
dimwishlist:item=781498181&perks=247725512,2048641572
dimwishlist:item=781498181&perks=247725512,3400784728
dimwishlist:item=781498181&perks=3978468247,2319119708
dimwishlist:item=781498181&perks=3978468247,555281244
dimwishlist:item=781498181&perks=3978468247,2048641572
dimwishlist:item=781498181&perks=3978468247,3400784728
dimwishlist:item=781498181&perks=3619207468,2319119708
dimwishlist:item=781498181&perks=3619207468,555281244
dimwishlist:item=781498181&perks=3619207468,2048641572
dimwishlist:item=781498181&perks=3619207468,3400784728


// Cold Comfort - Boss DPS (god-pve)
//notes: Can load 4 rockets*, good in 6 man activities

*Get a primary kill, this loads a 2nd rocket, switch to the rocket then back, get another kill, boom 3. One finisher or ally revive will set up an emergeny reload, so when you run out of ammo, another rocket is loaded in. tags:god-pve
dimwishlist:item=839786290&perks=1441682018,3796465595,968510818,3194351027,398661035
dimwishlist:item=839786290&perks=1441682018,3796465595,968510818,3078487919,398661035


// Retold Tale - Void ()
//notes: :)))
dimwishlist:item=871900124&perks=776531651,2048641572
dimwishlist:item=871900124&perks=1119449540,2048641572


// Retold Tale ()
dimwishlist:item=871900124&perks=706527188,2679249093
dimwishlist:item=871900124&perks=706527188,1451849462
dimwishlist:item=871900124&perks=706527188,2450788523
dimwishlist:item=871900124&perks=744594675,2679249093
dimwishlist:item=871900124&perks=744594675,1451849462
dimwishlist:item=871900124&perks=744594675,2450788523


// Borrowed Time - General ()
dimwishlist:item=875848769&perks=1354429876,11612903
dimwishlist:item=875848769&perks=1354429876,2848615171
dimwishlist:item=875848769&perks=1354429876,3425386926
dimwishlist:item=875848769&perks=1354429876,3708227201
dimwishlist:item=875848769&perks=1354429876,4104185692
dimwishlist:item=875848769&perks=2450788523,11612903
dimwishlist:item=875848769&perks=2450788523,2848615171
dimwishlist:item=875848769&perks=2450788523,3425386926
dimwishlist:item=875848769&perks=2450788523,3708227201
dimwishlist:item=875848769&perks=2450788523,4104185692
dimwishlist:item=875848769&perks=3643424744,11612903
dimwishlist:item=875848769&perks=3643424744,2848615171
dimwishlist:item=875848769&perks=3643424744,3425386926
dimwishlist:item=875848769&perks=3643424744,3708227201
dimwishlist:item=875848769&perks=3643424744,4104185692
dimwishlist:item=875848769&perks=2779035018,11612903
dimwishlist:item=875848769&perks=2779035018,2848615171
dimwishlist:item=875848769&perks=2779035018,3425386926
dimwishlist:item=875848769&perks=2779035018,3708227201
dimwishlist:item=875848769&perks=2779035018,4104185692
dimwishlist:item=875848769&perks=4071163871,11612903
dimwishlist:item=875848769&perks=4071163871,2848615171
dimwishlist:item=875848769&perks=4071163871,3425386926
dimwishlist:item=875848769&perks=4071163871,3708227201
dimwishlist:item=875848769&perks=4071163871,4104185692


// Aurvandil FR6 - General ()
dimwishlist:item=963710795&perks=1523832109,2978966579
dimwishlist:item=963710795&perks=1523832109,3523296417
dimwishlist:item=963710795&perks=1523832109,2610012052
dimwishlist:item=963710795&perks=1523832109,4049631843
dimwishlist:item=963710795&perks=1820235745,2978966579
dimwishlist:item=963710795&perks=1820235745,3523296417
dimwishlist:item=963710795&perks=1820235745,2610012052
dimwishlist:item=963710795&perks=1820235745,4049631843


// Nameless Midnight ()
dimwishlist:item=996109059&perks=3619207468,11612903
dimwishlist:item=996109059&perks=3619207468,3038247973
dimwishlist:item=996109059&perks=3619207468,2213355989
dimwishlist:item=996109059&perks=3619207468,3425386926
dimwishlist:item=996109059&perks=3619207468,1015611457
dimwishlist:item=996109059&perks=3619207468,4104185692
dimwishlist:item=996109059&perks=3619207468,3891536761
dimwishlist:item=996109059&perks=3400784728,11612903
dimwishlist:item=996109059&perks=3400784728,3038247973
dimwishlist:item=996109059&perks=3400784728,2213355989
dimwishlist:item=996109059&perks=3400784728,3425386926
dimwishlist:item=996109059&perks=3400784728,1015611457
dimwishlist:item=996109059&perks=3400784728,4104185692
dimwishlist:item=996109059&perks=3400784728,3891536761
dimwishlist:item=996109059&perks=1168162263,11612903
dimwishlist:item=996109059&perks=1168162263,3038247973
dimwishlist:item=996109059&perks=1168162263,2213355989
dimwishlist:item=996109059&perks=1168162263,3425386926
dimwishlist:item=996109059&perks=1168162263,1015611457
dimwishlist:item=996109059&perks=1168162263,4104185692
dimwishlist:item=996109059&perks=1168162263,3891536761
dimwishlist:item=996109059&perks=671806388,11612903
dimwishlist:item=996109059&perks=671806388,3038247973
dimwishlist:item=996109059&perks=671806388,2213355989
dimwishlist:item=996109059&perks=671806388,3425386926
dimwishlist:item=996109059&perks=671806388,1015611457
dimwishlist:item=996109059&perks=671806388,4104185692
dimwishlist:item=996109059&perks=671806388,3891536761


// Perses-D ()
dimwishlist:item=1019000888&perks=671806388,2896038713
dimwishlist:item=1019000888&perks=671806388,3038247973
dimwishlist:item=1019000888&perks=671806388,124408337
dimwishlist:item=1019000888&perks=247725512,2896038713
dimwishlist:item=1019000888&perks=247725512,3038247973
dimwishlist:item=1019000888&perks=247725512,124408337
dimwishlist:item=1019000888&perks=2946784966,2896038713
dimwishlist:item=1019000888&perks=2946784966,3038247973
dimwishlist:item=1019000888&perks=2946784966,124408337


// The Hero's Burden - General ()
dimwishlist:item=1028124540&perks=2779035018,2048641572
dimwishlist:item=1028124540&perks=2779035018,1015611457
dimwishlist:item=1028124540&perks=588594999,2048641572
dimwishlist:item=1028124540&perks=588594999,1015611457
dimwishlist:item=1028124540&perks=2946784966,2048641572
dimwishlist:item=1028124540&perks=2946784966,1015611457


// Bottom Dollar - General ()
dimwishlist:item=1046651176&perks=2450788523,2848615171
dimwishlist:item=1046651176&perks=2450788523,2458213969
dimwishlist:item=1046651176&perks=2450788523,3425386926
dimwishlist:item=1046651176&perks=2450788523,3523296417
dimwishlist:item=1046651176&perks=2450788523,3038247973
dimwishlist:item=1046651176&perks=1354429876,2848615171
dimwishlist:item=1046651176&perks=1354429876,2458213969
dimwishlist:item=1046651176&perks=1354429876,3425386926
dimwishlist:item=1046651176&perks=1354429876,3523296417
dimwishlist:item=1046651176&perks=1354429876,3038247973
dimwishlist:item=1046651176&perks=2779035018,2848615171
dimwishlist:item=1046651176&perks=2779035018,2458213969
dimwishlist:item=1046651176&perks=2779035018,3425386926
dimwishlist:item=1046651176&perks=2779035018,3523296417
dimwishlist:item=1046651176&perks=2779035018,3038247973
dimwishlist:item=1046651176&perks=1820235745,2848615171
dimwishlist:item=1046651176&perks=1820235745,2458213969
dimwishlist:item=1046651176&perks=1820235745,3425386926
dimwishlist:item=1046651176&perks=1820235745,3523296417
dimwishlist:item=1046651176&perks=1820235745,3038247973
dimwishlist:item=1046651176&perks=247725512,2848615171
dimwishlist:item=1046651176&perks=247725512,2458213969
dimwishlist:item=1046651176&perks=247725512,3425386926
dimwishlist:item=1046651176&perks=247725512,3523296417
dimwishlist:item=1046651176&perks=247725512,3038247973
dimwishlist:item=1046651176&perks=1168162263,2848615171
dimwishlist:item=1046651176&perks=1168162263,2458213969
dimwishlist:item=1046651176&perks=1168162263,3425386926
dimwishlist:item=1046651176&perks=1168162263,3523296417
dimwishlist:item=1046651176&perks=1168162263,3038247973


// The Recluse - General ()
dimwishlist:item=1050806815&perks=2779035018,3081867624
dimwishlist:item=1050806815&perks=2779035018,4104185692
dimwishlist:item=1050806815&perks=2779035018,3708227201
dimwishlist:item=1050806815&perks=2779035018,2109543898
dimwishlist:item=1050806815&perks=3828510309,3081867624
dimwishlist:item=1050806815&perks=3828510309,4104185692
dimwishlist:item=1050806815&perks=3828510309,3708227201
dimwishlist:item=1050806815&perks=3828510309,2109543898
dimwishlist:item=1050806815&perks=1820235745,3081867624
dimwishlist:item=1050806815&perks=1820235745,4104185692
dimwishlist:item=1050806815&perks=1820235745,3708227201
dimwishlist:item=1050806815&perks=1820235745,2109543898
dimwishlist:item=1050806815&perks=4071163871,3081867624
dimwishlist:item=1050806815&perks=4071163871,4104185692
dimwishlist:item=1050806815&perks=4071163871,3708227201
dimwishlist:item=1050806815&perks=4071163871,2109543898


// The Recluse - Void ()
//notes: void again
dimwishlist:item=1050806815&perks=776531651,2048641572


// The Recluse - Boss ()
//notes: Good for big sponge
dimwishlist:item=1050806815&perks=3828510309,365154968
dimwishlist:item=1050806815&perks=3828510309,4104185692
dimwishlist:item=1050806815&perks=4071163871,365154968
dimwishlist:item=1050806815&perks=4071163871,4104185692
dimwishlist:item=1050806815&perks=1359896290,365154968
dimwishlist:item=1050806815&perks=1359896290,4104185692


// Timeworn Wayfarer - General ()
dimwishlist:item=1058098236&perks=1354429876,4293542123
dimwishlist:item=1058098236&perks=1354429876,2109543898
dimwishlist:item=1058098236&perks=1354429876,555281244


// Timeworn Wayfarer - Pain ()
//notes: Nezarec would be proud
dimwishlist:item=1058098236&perks=3938834702,699525795


// Last Foray - Unload ()
//notes: IDK might this might be a laser...
dimwishlist:item=1106635211&perks=968510818,3751912585


// Last Foray - General ()
dimwishlist:item=1106635211&perks=2869569095,2896038713
dimwishlist:item=1106635211&perks=2869569095,4293542123
dimwishlist:item=1106635211&perks=2869569095,4104185692
dimwishlist:item=1106635211&perks=2869569095,2846385770
dimwishlist:item=1106635211&perks=968510818,2896038713
dimwishlist:item=1106635211&perks=968510818,4293542123
dimwishlist:item=1106635211&perks=968510818,4104185692
dimwishlist:item=1106635211&perks=968510818,2846385770


// Servant Leader - General ()
dimwishlist:item=1107446438&perks=1168162263,2458213969
dimwishlist:item=1107446438&perks=1168162263,3425386926
dimwishlist:item=1107446438&perks=1168162263,1015611457
dimwishlist:item=1107446438&perks=1168162263,11612903
dimwishlist:item=1107446438&perks=1168162263,4104185692
dimwishlist:item=1107446438&perks=1354429876,2458213969
dimwishlist:item=1107446438&perks=1354429876,3425386926
dimwishlist:item=1107446438&perks=1354429876,1015611457
dimwishlist:item=1107446438&perks=1354429876,11612903
dimwishlist:item=1107446438&perks=1354429876,4104185692
dimwishlist:item=1107446438&perks=1570042021,2458213969
dimwishlist:item=1107446438&perks=1570042021,3425386926
dimwishlist:item=1107446438&perks=1570042021,1015611457
dimwishlist:item=1107446438&perks=1570042021,11612903
dimwishlist:item=1107446438&perks=1570042021,4104185692
dimwishlist:item=1107446438&perks=2946784966,2458213969
dimwishlist:item=1107446438&perks=2946784966,3425386926
dimwishlist:item=1107446438&perks=2946784966,1015611457
dimwishlist:item=1107446438&perks=2946784966,11612903
dimwishlist:item=1107446438&perks=2946784966,4104185692
dimwishlist:item=1107446438&perks=2450788523,2458213969
dimwishlist:item=1107446438&perks=2450788523,3425386926
dimwishlist:item=1107446438&perks=2450788523,1015611457
dimwishlist:item=1107446438&perks=2450788523,11612903
dimwishlist:item=1107446438&perks=2450788523,4104185692
dimwishlist:item=1107446438&perks=1820235745,2458213969
dimwishlist:item=1107446438&perks=1820235745,3425386926
dimwishlist:item=1107446438&perks=1820235745,1015611457
dimwishlist:item=1107446438&perks=1820235745,11612903
